n,平台,x86 linux,,"优化率
(优化前-优化后)/优化前",arm64 linux,,"优化率
(优化前-优化后)/优化前",x86 windows,,"优化率
(优化前-优化后)/优化前"
,编译命令,clang++ -pthread -o Ia Ia.cpp,,,aarch64-linux-gnu-g++ -static -o Ia -march=armv8.2-a Ia.cpp,,,g++ -o Ia Ia.cpp(mingw),,
,重复次数,平凡算法,cache优化算法,,平凡算法,cache优化算法,,平凡算法,cache优化算法,
,,平均时间/ms,平均时间/ms,,平均时间/ms,平均时间/ms,,平均时间/ms,平均时间/ms,
3850,51,103.864889,48.541502,53.26%,274.078478,165.461141,39.63%,117.468759,28.239022,75.96%
3900,51,106.672862,49.717487,53.39%,281.323488,168.184488,40.22%,123.021976,31.603486,74.31%
3950,50,112.204385,53.65557,52.18%,286.401193,167.686718,41.45%,125.117614,31.474208,74.84%
4000,50,117.356893,56.086708,52.21%,276.811054,174.833455,36.84%,136.724928,32.726624,76.06%
4050,49,118.444964,56.654268,52.17%,285.491352,177.358544,37.88%,130.338392,33.399204,74.38%
4100,48,123.223774,60.036064,51.28%,291.905438,177.261268,39.27%,129.737608,32.789415,74.73%
4150,48,130.913407,65.006439,50.34%,314.561271,185.48338,41.03%,132.27039,34.079538,74.23%
4200,47,129.110999,62.094689,51.91%,301.352457,180.172345,40.21%,135.859785,35.480455,73.88%
4250,47,134.330214,65.064119,51.56%,311.050868,187.736247,39.64%,137.570353,36.648617,73.36%
4300,46,134.806438,64.841182,51.90%,330.493893,205.959173,37.68%,141.785448,37.216361,73.75%
4350,45,143.992022,71.076365,50.64%,347.61873,208.495454,40.02%,145.749549,37.159627,74.50%
4400,45,146.848207,70.707901,51.85%,338.637509,207.475458,38.73%,149.966767,39.492673,73.67%
4450,44,144.180648,68.572978,52.44%,351.07401,221.295192,36.97%,150.025166,39.441111,73.71%
4500,44,145.534342,66.398912,54.38%,355.855114,220.20799,38.12%,156.889341,43.561377,72.23%
4550,43,154.42105,73.890583,52.15%,367.472033,233.462515,36.47%,158.145872,43.051902,72.78%
4600,43,160.229622,74.916575,53.24%,385.86819,254.657535,34.00%,162.65213,46.169037,71.61%
4650,43,161.745424,77.648337,51.99%,379.064323,226.534714,40.24%,163.16876,45.442714,72.15%
4700,42,165.213922,78.955241,52.21%,403.351044,266.14999,34.02%,168.283929,47.159512,71.98%
4750,42,170.151007,80.093998,52.93%,402.604361,251.04531,37.64%,167.998945,48.092381,71.37%
4800,41,182.894743,86.735186,52.58%,412.897453,249.283908,39.63%,195.06331,48.613827,75.08%
4850,41,177.971496,83.686135,52.98%,440.217184,263.028038,40.25%,175.071268,51.740546,70.45%
4900,40,185.812654,88.700621,52.26%,431.733914,260.936651,39.56%,178.622052,53.096587,70.27%
4950,40,193.784399,94.728056,51.12%,428.896434,255.118858,40.52%,213.141877,44.221443,79.25%
5000,40,202.8046,94.936317,53.19%,459.431193,274.974665,40.15%,217.975658,46.122113,78.84%
